sample	Grp	Grp2
F1900372.24	Low	F1900372
F1900372.7	Low	F1900372
F1900372.78	Low	F1900372
F1900372.96	Low	F1900372
F1900372.11	Low	F1900372
F1900372.80	Low	F1900372
F1900372.85	Low	F1900372
F1900372.32	Low	F1900372
F1900372.69	Low	F1900372
F1900372.10	Low	F1900372
F1900372.58	Low	F1900372
F1900372.56	Low	F1900372
F1900372.87	Low	F1900372
F1900372.99	Low	F1900372
F1900372.88	Low	F1900372
F1900372.73	Low	F1900372
F1900372.40	Low	F1900372
F1900372.46	Low	F1900372
F1900372.5	Low	F1900372
F1900372.101	Low	F1900372
F1900372.65	Low	F1900372
F1900372.45	Low	F1900372
F1900372.94	Low	F1900372
F1900372.23	Low	F1900372
F1900372.8	Low	F1900372
F1900372.90	Low	F1900372
F1900372.4	Low	F1900372
F1900372.47	Low	F1900372
F1900372.18	Low	F1900372
F1900372.50	Low	F1900372
F1900372.77	Low	F1900372
F1900372.38	Low	F1900372
F1900372.93	Low	F1900372
F1900372.49	Low	F1900372
F1900372.52	Low	F1900372
F1900372.100	Low	F1900372
F1900372.21	Low	F1900372
F1900372.79	Low	F1900372
F1900372.53	Low	F1900372
F1900372.89	Low	F1900372
F1900372.14	Low	F1900372
F1900372.82	Low	F1900372
F1900372.41	Low	F1900372
F1900372.63	Low	F1900372
F1900372.2	Mid	F1900372
F1900372.22	Mid	F1900372
F1900372.34	Mid	F1900372
F1900372.43	Mid	F1900372
F1900372.13	Mid	F1900372
F1900372.36	Low	F1900372
F1900372.86	Low	F1900372
F1900372.16	Low	F1900372
F1900372.12	Low	F1900372
F1900372.20	Low	F1900372
F1900372.68	Low	F1900372
F1900372.55	Low	F1900372
F1900372.70	Low	F1900372
F1900313.48	H	F1900313
F1900313.22	H	F1900313
F1900313.13	H	F1900313
F1900313.28	H	F1900313
F1900313.3	H	F1900313
F1900313.9	H	F1900313
F1900313.21	H	F1900313
F1900313.34	H	F1900313
F1900313.10	H	F1900313
F1900313.20	H	F1900313
F1900313.23	H	F1900313
F1900313.33	Low	F1900313
F1900313.40	Low	F1900313
F1900313.7	Low	F1900313
F1900313.47	Low	F1900313
F1900313.46	Low	F1900313
F1900313.49	Low	F1900313
F1900313.53	Low	F1900313
F1900313.37	Low	F1900313
F1900313.42	Low	F1900313
F1900313.41	Low	F1900313
F1900313.51	Low	F1900313
F1900313.26	Low	F1900313
F1900313.44	Low	F1900313
F1900313.4	Low	F1900313
F1900313.24	Low	F1900313
F1900313.6	Mid	F1900313
F1900313.19	Low	F1900313
F1900313.11	Low	F1900313
F1900313.8	Mid	F1900313
F1900313.12	Mid	F1900313
F1900313.17	Mid	F1900313
F1900313.29	Low	F1900313
F1900313.16	Low	F1900313
F1900313.5	Mid	F1900313
F1900313.15	Low	F1900313
F1900313.31	Low	F1900313
F1900313.25	Mid	F1900313
F1900313.36	Low	F1900313
F1900313.30	Low	F1900313
F1900313.35	Low	F1900313
F1900313.38	Low	F1900313
F1900313.27	Mid	F1900313
F1900313.39	Low	F1900313
F1900313.1	Low	F1900313
F1900313.32	Low	F1900313
F1900313.18	Mid	F1900313
F1900313.43	Low	F1900313
F1900313.14	Mid	F1900313
F1900313.52	Low	F1900313
F1900313.2	Mid	F1900313
F1900186.17	H	F1900186
F1900186.6	H	F1900186
F1900186.49	H	F1900186
F1900186.7	H	F1900186
F1900186.34	H	F1900186
F1900186.13	Low	F1900186
F1900186.10	Low	F1900186
F1900186.26	Low	F1900186
F1900186.54	Low	F1900186
F1900186.1	Low	F1900186
F1900186.40	Low	F1900186
F1900186.43	Low	F1900186
F1900186.28	Low	F1900186
F1900186.39	Low	F1900186
F1900186.47	Low	F1900186
F1900186.9	Low	F1900186
F1900186.16	Low	F1900186
F1900186.12	Low	F1900186
F1900186.14	Low	F1900186
F1900186.32	Low	F1900186
F1900186.53	Low	F1900186
F1900186.35	Low	F1900186
F1900186.11	Low	F1900186
F1900186.30	Low	F1900186
F1900186.37	Low	F1900186
F1900186.50	Low	F1900186
F1900186.45	Low	F1900186
F1900186.48	Low	F1900186
F1900186.44	Low	F1900186
F1900186.33	Low	F1900186
F1900186.51	Low	F1900186
F1900186.3	Low	F1900186
F1900186.15	Low	F1900186
F1900186.24	Low	F1900186
F1900186.31	Low	F1900186
F1900186.42	Low	F1900186
F1900186.38	Low	F1900186
F1900186.22	Low	F1900186
F1900186.2	Low	F1900186
F1900186.27	Low	F1900186
F1900186.5	Low	F1900186
F1900186.19	Low	F1900186
F1900186.46	Low	F1900186
F1900186.21	Low	F1900186
F1900186.20	Mid	F1900186
F1900186.8	Low	F1900186
F1900186.4	Low	F1900186
F1900186.23	Low	F1900186
F1900186.18	Low	F1900186
F1900186.25	Low	F1900186
F1900186.29	Low	F1900186
F1900186.55	Low	F1900186
F1900143.17	H	F1900143
F1900143.14	H	F1900143
F1900143.5	H	F1900143
F1900143.4	H	F1900143
F1900143.12	H	F1900143
F1900143.8	Low	F1900143
F1900143.6	Low	F1900143
F1900143.22	Low	F1900143
F1900143.21	Low	F1900143
F1900143.9	Low	F1900143
F1900143.11	Low	F1900143
F1900143.20	Low	F1900143
F1900143.3	Low	F1900143
F1900143.15	Low	F1900143
F1900143.10	Mid	F1900143
F1900143.2	Mid	F1900143
F1900143.18	Low	F1900143
F1900143.19	Low	F1900143
F1900143.1	Low	F1900143
F1900143.16	Low	F1900143
F1900143.23	Low	F1900143
F1900143.7	Mid	F1900143
F1900143.13	Low	F1900143
